"","Author","rel_fit","sm_magnitude"
"1125","Joshietal",1.52061219452,"1"
"1102","Joshietal",1.61877782274,"1"
"1122","Joshietal",1.67717041801,"1"
"1128","Joshietal",1.72796840286,"1"
"1108","Joshietal",1.7708129285,"1"
"1120","Joshietal",1.77491961415,"1"
"1158","Joshietal",2.26863084922,"1"
"1160","Joshietal",2.30502599653,"1"
"1114","Joshietal",2.31145935357,"1"
"1163","Joshietal",2.42634315425,"1"
"1118","Joshietal",2.57234726688,"1"
"1111","Joshietal",3.91772771792,"1"
"700","Kiketal.",0,"1"
"701","Kiketal.",0,"1"
"709","Kiketal.",0,"1"
"711","Kiketal.",0,"1"
"720","Kiketal.",0,"1"
"721","Kiketal.",0,"1"
"712","Kiketal.",0.333333333333,"1"
"705","Kiketal.",0.45,"1"
"704","Kiketal.",0.521739130435,"1"
"696","Kiketal.",0.714285714286,"1"
"702","Kiketal.",0.782608695652,"1"
"716","Kiketal.",0.78431372549,"2"
"719","Kiketal.",0.78431372549,"2"
"698","Kiketal.",0.857142857143,"1"
"715","Kiketal.",1,"1"
"718","Kiketal.",1.09803921569,"2"
"713","Kiketal.",1.16666666667,"1"
"706","Kiketal.",1.2,"1"
"708","Kiketal.",1.33333333333,"1"
"717","Kiketal.",1.33333333333,"2"
"707","Kiketal.",1.35,"1"
"697","Kiketal.",1.42857142857,"1"
"714","Kiketal.",1.5,"1"
"703","Kiketal.",1.69565217391,"1"
"722","Kiketal.",2,"1"
"723","Kiketal.",2,"1"
"710","Kiketal.",2.66666666667,"1"
"699","Kiketal.",3,"1"
"363","Kindell_et_al.",0,"1"
"364","Kindell_et_al.",0.0845070422535,"1"
"365","Kindell_et_al.",0.253521126761,"1"
"357","Kindell_et_al.",0.714801444043,"1"
"358","Kindell_et_al.",0.714801444043,"1"
"362","Kindell_et_al.",0.888086642599,"1"
"360","Kindell_et_al.",0.974729241877,"1"
"366","Kindell_et_al.",1.01408450704,"1"
"361","Kindell_et_al.",1.34296028881,"1"
"359","Kindell_et_al.",1.36462093863,"1"
"367","Kindell_et_al.",1.85915492958,"1"
"368","Kindell_et_al.",2.78873239437,"1"
"370","Lammi_et_al.",0.71,"1"
"369","Lammi_et_al.",1.33,"1"
"578","Linketal.",0,"1"
"575","Linketal.",0.522842639594,"2"
"576","Linketal.",1.47715736041,"2"
"577","Linketal.",2,"1"
"420","Miglia_et_al.",0.0633802816901,"1"
"415","Miglia_et_al.",0.159090909091,"1"
"417","Miglia_et_al.",0.266355140187,"1"
"416","Miglia_et_al.",0.568181818182,"1"
"418","Miglia_et_al.",0.700934579439,"1"
"421","Miglia_et_al.",0.823943661972,"1"
"419","Miglia_et_al.",2.03271028037,"1"
"422","Miglia_et_al.",2.11267605634,"1"
"414","Miglia_et_al.",2.27272727273,"1"
"1051","Rolan-Alverezetal",0.140625,"1"
"1060","Rolan-Alverezetal",0.310344827586,"1"
"1064","Rolan-Alverezetal",0.333333333333,"1"
"1054","Rolan-Alverezetal",0.705882352941,"1"
"1059","Rolan-Alverezetal",0.758620689655,"1"
"1050","Rolan-Alverezetal",0.796875,"1"
"1057","Rolan-Alverezetal",0.84375,"1"
"1062","Rolan-Alverezetal",0.892857142857,"1"
"1063","Rolan-Alverezetal",0.892857142857,"1"
"1056","Rolan-Alverezetal",1.03125,"1"
"1065","Rolan-Alverezetal",1.07407407407,"1"
"1053","Rolan-Alverezetal",1.11764705882,"1"
"1055","Rolan-Alverezetal",1.125,"1"
"1052","Rolan-Alverezetal",1.17647058824,"1"
"1061","Rolan-Alverezetal",1.21428571429,"1"
"1066","Rolan-Alverezetal",1.59259259259,"1"
"1058","Rolan-Alverezetal",1.93103448276,"1"
"1049","Rolan-Alverezetal",2.0625,"1"
"574","Verhoevenetal",0.6738170347,"3"
"571","Verhoevenetal",0.801886792453,"2"
"570","Verhoevenetal",0.910447761194,"1"
"568","Verhoevenetal",0.983425414365,"1"
"567","Verhoevenetal",1.01657458564,"1"
"569","Verhoevenetal",1.08955223881,"1"
"572","Verhoevenetal",1.19811320755,"2"
"573","Verhoevenetal",1.3261829653,"3"
"318","via_et_al.",0,"2"
"314","via_et_al.",0.0163309744148,"2"
"319","via_et_al.",0.019801980198,"2"
"315","via_et_al.",0.112449799197,"2"
"316","via_et_al.",1.8875502008,"2"
"320","via_et_al.",1.9801980198,"2"
"313","via_et_al.",1.98366902559,"2"
"317","via_et_al.",2,"2"
"243","Volis_et_al.",0,"1"
"244","Volis_et_al.",0,"1"
"245","Volis_et_al.",0,"1"
"246","Volis_et_al.",0,"1"
"248","Volis_et_al.",0,"1"
"227","Volis_et_al.",0.115189158667,"1"
"194","Volis_et_al.",0.254980079681,"2"
"217","Volis_et_al.",0.257112750263,"1"
"193","Volis_et_al.",0.589641434263,"2"
"197","Volis_et_al.",0.592057761733,"2"
"206","Volis_et_al.",0.609756097561,"2"
"215","Volis_et_al.",0.720758693361,"1"
"213","Volis_et_al.",0.757575757576,"2"
"233","Volis_et_al.",0.82304526749,"1"
"231","Volis_et_al.",0.825788751715,"1"
"228","Volis_et_al.",0.840203274986,"1"
"201","Volis_et_al.",0.843049327354,"3"
"198","Volis_et_al.",0.851985559567,"2"
"202","Volis_et_al.",0.896860986547,"3"
"199","Volis_et_al.",0.914798206278,"3"
"209","Volis_et_al.",0.919708029197,"2"
"242","Volis_et_al.",0.936430942047,"1"
"205","Volis_et_al.",0.951219512195,"2"
"207","Volis_et_al.",0.963503649635,"2"
"219","Volis_et_al.",0.966239813737,"1"
